#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
1107,Iman Shumpert,459,11459,3318,1224,3126,39.2,489,1447,33.8,381,499,76.4,323,1210,1533,845,513,120,529,47,49.6
1108,Scott Brooks,680,9233,3317,1233,2738,45,287,771,37.2,564,664,84.9,158,527,685,1608,480,30,451,50.3,54.7
1109,Vincent Askew,467,9364,3311,1215,2534,47.9,76,253,30,805,1068,75.4,400,776,1176,1017,304,106,503,49.4,55.1
1110,Doug McDermott,403,8040,3302,1241,2669,46.5,494,1195,41.3,326,395,82.5,143,739,882,339,77,40,246,55.8,58.1
1111,Bill Wennington,720,9738,3301,1379,3006,45.9,5,36,13.9,538,684,78.7,688,1460,2148,440,226,248,440,46,49.9
1112,Reggie Evans,809,15572,3289,1107,2379,46.5,1,11,9.1,1074,2036,52.8,1984,3781,5765,458,566,115,897,46.6,50.2
1112,Roger Mason Jr.,518,9146,3289,1196,2933,40.8,594,1549,38.3,303,350,86.6,78,819,897,677,189,75,370,50.9,53.3
1114,Ike Austin,432,8348,3285,1295,2901,44.6,9,51,17.6,686,1024,67,617,1413,2030,538,214,226,701,44.8,49
1114,Ron Lee,448,9586,3285,1296,3117,41.6,42,131,32.1,651,924,70.5,397,822,1219,1688,869,122,783,42.3,46.6
1116,Tim Perry,481,9436,3283,1313,2710,48.5,92,289,31.8,565,872,64.8,727,1184,1911,436,221,414,491,50.1,53.1
1117,Darrell Arthur,503,8945,3282,1381,3110,44.4,161,458,35.2,359,469,76.5,547,1221,1768,409,309,307,422,47,49.5
1118,Chuck Noble,411,9212,3276,1362,3937,34.6,0,0,0,552,755,73.1,0,0,1075,1344,0,0,0,34.6,38.4
1119,Bismack Biyombo,636,12863,3273,1232,2367,52,0,2,0,809,1408,57.5,1255,2713,3968,338,159,852,577,52,54.8
1120,Matt Bullard,615,8881,3270,1215,2907,41.8,599,1561,38.4,241,314,76.8,278,945,1223,535,186,119,319,52.1,53.7
1121,Chris Mihm,436,8757,3262,1253,2731,45.9,3,13,23.1,753,1069,70.4,865,1437,2302,223,128,444,535,45.9,50.9
1122,Jeff Grayer,438,8278,3257,1336,2925,45.7,35,137,25.5,550,829,66.3,574,720,1294,635,271,65,484,46.3,49.5
1122,Mikki Moore,564,10257,3257,1269,2304,55.1,2,13,15.4,717,965,74.3,777,1419,2196,409,179,306,537,55.1,59.7
